Active (0/1);Name*;Categories (x,y,z...);Price tax included;Tax rule ID;Quantity;Description
1;Komoda TEMPRA 2 niska 2D dąb artisan;Styl skandynawski;233,10;1;75;Kolekcja TEMPRA 2 to doskonałe dopełnienie dla nowoczesnych wnętrz salonu, gabinetu oraz pokoju młodzieżowego. Cechuje ją prosta, nowoczesna linia oraz funkcjonalność. Większość brył z tej kolekcji ma zamkniętą budowę, pełną półek, które umożliwiają dobrą organizację dla ubrań, dokumentów oraz potrzebnych drobiazgów - przez to doskonale nadają się do wnętrz kameralnych oraz przestrzeni związanej z pracą. Doskonałym przykładem wykorzystania tej przestrzeni jest model komody TEMPRA wyposażony w 2 drzwi, w całości wykonany z płyty meblowej i wykończony folią. Kolorystyka dąb artisan o charakterystycznym wybarwieniu zbliżonym do naturalnego drewna umożliwia zestawienie z meblami w stylu nowoczesnym oraz skandynawskim. Ładnie komponuje się również z meblami osadzonymi na czarnych profilach. Poszczególne bryły kolekcji TEMPRA 2 można zestawiać z wnętrzami w odcieniach bieli, szarości, a także uzupełnić o ozdoby i dodatki w bardziej intensywnej kolorystyce. WNĘTRZE i WYKOŃCZENIE ● Komoda TEMPRA 2 posiada zamykane szafki z półkami ● Została wykonana z płyty meblowej, pokrytej folią ● Komoda jest utrzymana w kolorystyce dąb artisan ● Uchwyty zostały wykonane z tworzywa - są niewielkie i ładnie uzupełniają front mebla
1;Komoda TEMPRA 2 wysoka 2D2S dąb artisan;Styl skandynawski;323,10;1;44;Komoda TEMPRA z 3 wnękami TEMPRA 2 2D2S wyposażona jest w 2 drzwi oraz 2 szuflady . Dzięki takiemu rozkładowi jest idealnym meblem do przechowywania książek i drobnych gadżetów. WNĘTRZE W 3 wnękach możesz przechowywać przedmioty o wadze maksymalnej 5 kg 2 szuflady to idealne miejsce na drobiazgi WYKOŃCZENIE Została wykonana z płyty meblowej, pokrytej folią. Uchwyty zostały wykonane z tworzywa - są niewielkie i ładnie uzupełniają front mebla. Kolorystyka dąb artisan umożliwia zestawienie komody z meblami w stylu rustykalnym oraz industrialnym. Ładnie komponuje się również z meblami osadzonymi na czarnych profilach. MIEJSCE NA WSZYSTKO Kolekcja komód i regałów TEMPRA 2 sprawi, że w Twoim domu znajdzie się miejsce na wszystko. Przy jej pomocy możesz urządzić domową czytelnię, gabinet lub przedpokój. Dzięki tej kolekcji zachowasz porządek wśród ubrań, dokumentów, potrzebnych drobiazgów, a nawet ubrań.
1;Komoda LUPO 5S;Styl skandynawski;578,68;1;76;Komoda LUPO z szufladami wchodzi w skład kolekcji przeznaczonej do pokoju dziecięcego i młodzieżowego. Dzięki wykończeniu w kolorze bieli i drewna łatwo dopasujesz komodę LUPO do większości aranżacji i sprawdzi się zarówno w pokoju dziewczynki, jak i chłopca. WNĘTRZE Komoda posiada 5 szuflad na prowadnicach rolkowych. Łatwo uporządkujesz w nich ubrania lub akcesoria. Blat możesz wykorzystać jako miejsce na organizery, dekoracje czy zabawki. WYKOŃCZENIE Komoda jest wykonana z płyty meblowej i wykończona laminatem . Powierzchnię płyty laminowanej bardzo łatwo utrzymać w czystości. MEBLE LUPO DO POKOJU DZIECIĘCEGO I MŁODZIEŻOWEGO Meble z kolekcji LUPO pomogą urządzić pokój dziecięcy w taki sposób, aby za kilka lat mogły służyć jako meble młodzieżowe. Połączenie bieli z ciepłym kolorem drewna to dobre rozwiązanie do większości aranżacji, które zapewnia swobodę w wyborze i zmianie dodatków. Meble młodzieżowe LUPO pozwolą urządzić nawet niewielki pokój nastolatka , a ich prosta konstrukcja i kolor sprawiają, że z łatwością wkomponujesz je również w inne pomieszczenia.
1;Komoda NORTON;Styl nowoczesny;661,48;1;61;Komoda NORTON charakteryzuje się prostą minimalistyczną formą, która sprawia, że mebel pasuje do nowoczesnych wnętrz. Laminat w jasnym kolorze dębu sonoma, dekorem przypominający drewno, wprowadzi do pomieszczenia przytulny klimat. Brak tradycyjnych uchwytów sprawia, że mebel łatwiej wkomponować w dowolną aranżację. Uniwersalny kształt i wyposażenie komody sprawia, że można ją postawić zarówno w salonie, jak i sypialni czy przedpokoju. WNĘTRZE W szafkach i szufladach przechowasz wszystko, co chcesz uporządkować i zawsze mieć pod ręką. Dzięki kulkowym prowadnicom z pełnym wysuwem docenisz komfort użytkowania mebla. WYKOŃCZENIE Mebel został pokryty laminatem, łatwiejszym do utrzymania w czystości.
1;Duża komoda granatowa z pólkami i szufladami BOHOL;Styl nowoczesny;991,20;1;16;Szukasz komody, którą możesz ustawić przy długiej ścianie? Komoda BOHOL ma 220 cm szerokości więc wypełni sporą jej część. Wyrazisty rysunek drewna wprowadzi do pokoju swojskość - tylko, że w nowoczesnym wydaniu. Zawiasy wyposażono w system cichego domyku, więc drzwi nie trzaskają. WNĘTRZE Dzięki 6 wnękom możesz posegregować swoje rzeczy, by zachować porządek na dłużej. 3 szuflady przydadzą się do przechowywania dokumentów lub drobiazgów. Na dużym blacie możesz ustawić pamiątki rodzinne lub dekoracje. WYKOŃCZENIE Mebel wykończono dwoma rodzajami folii z rysunkiem drewna. Folia na blacie i półkach ma kolor drewna dębu riviera – sprawia, że we wnętrzu robi się przytulniej. Front i korpus pokrywa granatowa folia, imitująca malowane drewno. Uchwyty z tworzywa mają prostą formę. DREWNO W BARWIE GRANATU Lubisz otaczać się rustykalnymi meblami, ale tym razem szukasz czegoś bardzo oryginalnego? Chcesz wprowadzić do salonu wyrazisty kolor? A co powiesz na meble wykończone w kolorze granatowego drewna? Kolekcja BOHOL to meble o masywnej konstrukcji, z wyraźnym rysunkiem drewna, prostymi uchwytami … i w granatowym odcieniu . Świetnie sprawdzą się w mieszkaniu urządzonym z motywami morskimi, w loftowym – surowym wnętrzu, wśród szarości i wśród kremów. Sprawią, że Twój salon będzie zarazem swojski i wytworny. Podoba Ci się taka koncepcja? Zamów całą kolekcję!
1;Komoda LOFT 2D2S;Styl nowoczesny;836,28;1;75;Komoda LOFT to mebel przeznaczony do pokoju dziennego, wizualnie utrzymany w nowoczesnym stylu. Łączy w sobie prostotę oraz funkcjonalność, a także dyskretną elegancję. Doskonale współpracuje zarówno z odcieniami szarości, jak również ciepła tonacją wnętrza. Pod względem kolorystycznym meble z kolekcji LOFT idealnie wykorzystują zasadę kontrastu, w myśl której płyty wykończone jasnym wybarwieniem są podkreślone czarnymi wstawkami, które wyodrębniają z całej bryły linie szafek oraz szuflad. WNĘTRZE W 2 bocznych szafkach znajdują się po 3 wnęki. 2 szuflady przydadzą się do przechowywania drobiazgów. W otwartej wnęce wyeksponujesz zdjęcia, dekoracje lub książki. WYKOŃCZENIE Komoda LOFT została wykonana z płyty meblowej wykończonej laminatem. Uchwyty służące do otwierania szuflad i szafek są metalowe, okrągłe i ładnie komponują się z linią mebla. Jest to rozwiązanie, które również doskonale sprawdza się pod katem dekoracyjnym.
1;Komoda VINCENT NEW V-6;Styl retro;1271,20;1;62;Modernizm stanowił w historii sztuki całkowity odwrót od przeszłości. Wzrok świata artystycznego skierowany został w to, co miało nadejść. Lata 60-te oraz 70-te zaowocowały meblami o prostych liniach, charakteryzujących się lekkością. Inspirację stanowiło funkcjonalne, szwedzkie wzornictwo początków XX wieku. W obliczu panującej obecnie mody na vintage, komoda VINCENT NEW V-6 jest strzałem w dziesiątkę. Geometryczna bryła uzupełniona o smukłe, drewniane nóżki, świetnie wpasuje się we współczesne wnętrza tych, którzy podążają za trendami. WNĘTRZE Konstrukcja wnętrza komody to ukryta za frontami przestrzeń przedzielona półką oraz trzy szuflady wyposażone w funkcję cichego domyku . Dzięki tak podzielonej przestrzeni wewnątrz mebla, z łatwością utrzymasz porządek i zawsze znajdziesz to, czego szukasz. WYKOŃCZENIE Niemal cały korpus komody VINCENT NEW V-6 został wykończony białą barwą. Monotonię przełamuje dekor imitujący dębowe drewno, pokrywający zarówno blat, jak i dolną część komody. W podobnym odcieniu są nóżki- element decydujący o stylistyce mebla i stanowiący nawiązanie do stylistyki vintage. Funkcję uchwytów pełnią tutaj subtelne frezowania we frontach.
1;Komoda do salonu z 2 wnękami DOORSET;Styl rustykalny;367,08;1;100;Chcesz uporządkować dodatki w przedpokoju? A może potrzebujesz mebla, na którym ustawisz kolekcję zdjęć rodzinnych w salonie? Komoda DOORSET jest dla Ciebie idealnym wyborem. Ułatwi poukładanie wszystkich rzeczy, które przydają się w salonie, przedpokoju lub jadalni. A jej design wykończony w ciepłym kolorze drewna pomoże wprowadzić do przytulny, domowy nastrój. WYKOŃCZENIE Komoda posiada zamykane wnęki, w których uporządkujesz ubrania, zastawę stołową czy dokumenty. Maksymalne obciążenie blatu oraz półki wewnętrznej wynosi 5 kg. W KOLORZE DREWNA Kolekcja mebli DOORSET w całości jest wykonana w kolorze imitującym barwę surowego drewna, z widocznymi słojami i sękami, dlatego też świetnie sprawdzi się we wnętrzach urządzonych w stylu rustykalnym oraz klasycznym.
1;Szafka RTV VINCENT NEW V-8 z oświetleniem;Styl retro;887,20;1;50;Szafka RTV VINCENT NEW V-8 nawiązuje stylistyką do designu lat 60-tych oraz 70-tych. Panujący wówczas styl modernistyczny był odwrotem od przeszłości i spojrzeniem w przyszłość- pełen futurystycznych brył, stawiający na prostotę i lekkość formy. Wówczas szafka RTV już nawet z racji swej funkcji była meblem nowoczesnym- telewizor stanowił przejaw najnowszej techniki i dla wielu pozostawał wciąż niemożliwym do spełnienia marzeniem. Mebel świetnie wkomponuje się w nowoczesne wnętrza, ale również te, które utrzymane są w stylistyce vintage. Nieskomplikowane linie oraz białe wybarwienie połączone z imitacją dębowego drewna tworzą mebel subtelny i elegancki. WNĘTRZE Na wnętrze mebla składają się dwie szafeczki , a pośrodku znajduje się wnęka o wymiarach 46/38/10 cm . Wewnątrz niej zamontowano jeden punkt oświetlenia LED , które pomoże stworzyć ciekawy efekt wizualny. WYKOŃCZENIE Fronty szafki RTV VINCENT NEW V-8 zamontowano na zawiasach z funkcją cichego domyku, co podwyższa komfort korzystania z mebla. Funkcję uchwytów pełnią tutaj frezowania we frontach. Bryła szafki połączenie bieli z okleiną imitującą drewno dębowe, co jest rozwiązaniem na tyle uniwersalnym, że bez problemu dopasujesz mebel do dowolnej kolorystyki ścian, tekstyliów i dodatków dekoracyjnych. Szafkę VINCENT NEW z powodzeniem wkomponujesz we wnętrze o nowoczesnym, minimalistycznym wystroju. Jest wręcz stworzona do aranżacji utrzymanych w stylistyce skandynawskiej- ze względu na swą prostotę, wybarwienie oraz charakterystyczny kształt drewnianych nóżek. Doskonale wkomponuje się również w przestrzenie w charakterze vintage, wypełnione wyrazistymi wzorami oraz intensywnymi, żywymi kolorami.
1;Szafka na buty wąska DOORSET;Styl rustykalny;505,08;1;12;Szafka na buty DOORSET to wygodne rozwiązanie do utrzymania porządku w przedpokoju nawet o niewielkim metrażu. Szafka posiada 3 przegrody otwierane klapowo, w których z łatwością posegregujesz buty swoje i swojej rodziny. Możesz skomponować go z wieszakiem z serii DOORSET i stworzyć przedpokój, w którym już zawsze będzie panował ład. WNĘTRZE 3 szafki otwierane klapowo z przegrodami na buty. WYKOŃCZENIE Korpus i fronty szafki wykonane są z płyty meblowej oraz pokryte laminatem.
1;Szafka na buty do przedpokoju DOORSET;Styl rustykalny;394,68;1;46;Koniec z walającymi się na podłodze butami. Zamykana na drzwi szafka DOORSET pomieści buty Twoje i Twoich dzieci. Szafka na buty jest częścią kolekcji DOORSET i możesz ją zestawić z pozostałymi meblami z tej serii. Szafka wykonana jest z płyty w jasnym kolorze z imitacją drewna. Proste, czarne uchwyty sprawiają, że meble z tej kolekcji pasują do wnętrz urządzonych zarówno w stylu klasycznym, jak i nowoczesnym. WNĘTRZE Szafka posiada 2 półki, na których możesz przechowywać buty. WYKOŃCZENIE Korpus oraz fronty szafki wykonane są z płyty meblowej i pokryte laminatem. Czystość szafki zachowasz poprzez regularne przecieranie jej ściereczką.
1;Komoda z szufladami do salonu ALTAMURA;Styl nowoczesny;3089,;1;67;ALTAMURA to komoda z szufladami , która odmieni wnętrze Twojego salonu. Ciepła barwa sękatego dębu sprawi, że pokój nabierze przytulności. Korpus komody wykończony jest naturalną okleiną . Fronty z litego drewna posiadają wyraźnie zarysowane sęki - jeśli lubisz przebywać blisko natury, takie wykonanie skradnie Twoje serce. WNĘTRZE 1 niska i 2 wyższe szuflady , to doskonałe miejsce na ręczniki, obrusy lub inne tekstylia. Komoda ALTAMURA posiada 4 wnęki z półkami, które wytrzymają obciążenie 10 kg - Twoja kolekcja ozdobnej ceramiki będzie bezpieczna. WYKOŃCZENIE Komoda wykonana jest z płyty meblowej pokrytej okleiną naturalną oraz wewnątrz - folią . Fronty wykonane są z litego drewna dębowego i zabezpieczone olejem. Wstęga szuflady pokryta jest folią. Metalowe, proste uchwyt stanowią elegancki element ozdobny i służą wygodnemu otwarciu szuflad i szafek.
1;Regał CUBE 1D;Styl nowoczesny;639,;1;23;Regał CUBE z drzwiami przesuwnymi pomoże wprowadzić porządek wśród teczek, książek czy segregatorów. Drzwi zostały wyposażone w zamek , dzięki czemu możesz schować w regale ważne dokumenty. Został zaprojektowany z myślą o domowych biurach, w których zależy nam na odpowiedniej organizacji. Możesz zestawić go z biurkiem i regałami w innych rozmiarach z kolekcji CUBE do biura i stworzyć spójną aranżację miejsca pracy. WNĘTRZE 3 wnęki otwarte i 3 zamknięte zapewniają sporo miejsca do przechowywania. Maksymalne obciążenie półki wynosi 5 kg. WYKONANIE Korpus jest wykonany z płyty meblowej i wykończony laminatem , dzięki czemu łatwo utrzymasz czystość mebla. Uchwyt wykonany jest z metalu. Meble CUBE to dobry wybór do współczesnych aranżacji, pasują zarówno do jasnych, jak i ciemnych kolorów ścian i dodatków.
1;Komoda MODICO 3D1S MC-07;Styl nowoczesny;681,30;1;55;Szeroka komoda MODICO świetnie uzupełni nowoczesną aranżację mieszkania. Komoda pomoże zorganizować domowe tekstylia i dokumenty w pokoju dziennym, poskładane ubrania w sypialni lub elementy zastawy stołowej i akcesoria w jadalni. Z kolekcją MODICO możesz urządzić salon w spójnym stylu. Meble MODICO sprawią, że Twoje wnętrze będzie jasne i pełne ciepła. WNĘTRZE Szuflada pomieści niewielkie akcesoria. Otwarta wnęka pod przeszkloną częścią blatu to świetne miejsce na Twoje ulubione przedmioty. Możesz dodatkowo je uwydatnić, dokupując oświetlenie. We wnękach za drzwiami łatwo ułożysz potrzebne przedmioty. Blat możesz wykorzystać na wyeksponowanie stylowych dekoracji. WYKOŃCZENIE Meble MODICO wykonano z płyty meblowej i wykończono laminatem. Nowoczesny design i połączenie bieli z kolorem drewna wprowadza do pomieszczenia przytulny klimat.
1;Komoda z półkami sosna bielona MONTANA;Styl nowoczesny;739,;1;5;Urządzasz wnętrze pokoju młodzieżowego i pragniesz, by panował tam ład oraz porządek? Sprawdź co ma do zaoferowania komoda z z półkami z kolekcji MONTANA. Wraz z innymi elementami kolekcji pozwoli Ci stworzyć garderobę dopasowaną do oczekiwań wymagającej nastolatki . WNĘTRZE Za 3 symetrycznymi frontami znajdziesz miejsce na ciepłe swetry , spodnie lub koszulki . W komodzie znajdziesz 3 półki, które dzielą wnętrze na 6 wnęk. WYKOŃCZENIE Korpus oraz fronty komody MONTANA wykonano z płyty meblowej o grubości 16 mm . Wykończenie nawiązujące do wyglądu bielonego drewna nada wnętrzu lekkości. Konstrukcję mebla pokryto laminatem w kolorze sosny andersen – podkreśl jej urok nietuzinkowymi dodatkami oraz elementami dekoracyjnymi. Design komody MONTANA możesz urozmaicić modernistycznymi elementami dekoracyjnymi – nadając wnętrzu nowoczesności .
1;Szafka RTV szeroka ALTAMURA;Styl nowoczesny;2279,;1;62;Szafka RTV ALTAMURA to mebel dla prawdziwego miłośnika kina. Szeroki blat (190 cm) pozwoli Ci postawić na szafce telewizor do 86 cali. Jeśli zdecydujesz się powiesić telewizor nad szafką, na blacie możesz postawić świeczki, kwiaty lub inne dekoracje. WNĘTRZE 2 otwarte wnęki oddzielone półką sprawdzą się w sam raz na dekoder lub router. Szafka RTV posiada otwór , przez który w łatwy sposób przeciągniesz kable od telewizora. W szafce znajdziesz 2 półki na dokumenty lub przydatne elementy, które chciałbyś schować. 2 szuflady wykorzystasz do przechowywania ulubionych gier lub kolekcji filmów. WYKOŃCZENIE Szafka wykonana jest z płyty meblowej pokrytej okleiną naturalną oraz folią . Fronty wykonane są z litego drewna dębowego i zabezpieczone olejem. Wstęgi szuflad pokryte są folią. Metalowe, proste uchwyty stanowią elegancki element ozdobny i służą wygodnemu otwarciu szuflady Jeśli chcesz, by Twój kącik kinomana został bardziej wyeksponowany, możesz domówić zestaw oświetlenia w postaci 2 pkt oczka led
